subj,tarea-grupo,género,edad,edad aprendizaje del espanol,ocupación,donde ha crecido (los primeros 15 años),fecha,grabación,lugar de grabación
mc_1,0-2,masculino,57,8,agricultor,c.c.n.n. (betania),05/07/2017,4,betania
mc_2,0-2,femenino,43,8,artesana,c.c.n.n. (betania),05/07/2017,5,betania
mc_3,0-2,masculino,66,10,agricultor,c.c.n.n. (sempaya),05/07/2017,6,betania
mc_4,0-2,femenino,25,7,ama de casa,c.c.n.n. (caimito),05/07/2017,7,betania
mc_5,0-2,femenino,22,7,artesana,c.c.n.n. (betania),05/07/2017,9,betania
mc_6,0-2,femenino,50,10,artesana,c.c.n.n. (betania),05/07/2017,10,betania
mc_7,0-2,masculino,59,8,agricultor,c.c.n.n. (betania),05/07/2017,11,betania
mc_8,0-2,femenino,26,3,artesana,c.c.n.n. (betania),05/07/2017,12,betania
mc_9,0-2,femenino,20,8,ama de casa,c.c.n.n. (betania),06/07/2017,1,betania
mc_10,0-1,femenino,42,8,artesana,c.c.n.n. (limon bema),05/07/2017,8,betania
mc_11,0-1,femenino,29,8,ama de casa,santa maria (loreto),05/07/2017,3,betania
mc_12,0-1,masculino,28,9,agricultor,c.c.n.n. (betania),05/07/2017,2,betania
mc_13,0-1,femenino,27,7,ama de casa,c.c.n.n. (betania),05/07/2017,1,betania
mc_14,0-1,femenino,54,8,ama de casa,c.c.n.n. (belen),04/07/2017,5,betania
mc_15,0-1,masculino,64,8,agricultor,c.c.n.n. (sucre),04/07/2017,4,betania
mc_16,0-1,femenino,26,8,ama de casa,c.c.n.n. (betania),04/07/2017,3,betania
mc_17,0-1,masculino,74,8,agricultor,c.c.n.n. (libertador),04/07/2017,2,betania
mc_18,0-1,femenino,27,9,ama de casa,c.c.n.n. (betania),04/07/2017,1,betania
